id,brand,title,price,href
444146648,Kingston,SSD диск Kingston NV3 1TB M.2 2280 NVMe PCIe 4.0 x4 3D NAND (SNV3S/1000G),2859.0,https://hard.rozetka.com.ua/ua/kingston-snv3s-1000g/p444146648/
14606570,Kingston,SSD диск Kingston SSDNow A400 240GB 2.5» SATAIII 3D TLC (SA400S37/240G),1199.0,https://hard.rozetka.com.ua/ua/kingston_sa400s37_240g/p14606570/
14606558,Kingston,SSD диск Kingston SSDNow A400 480GB 2.5» SATAIII 3D V-NAND (SA400S37/480G),1779.0,https://hard.rozetka.com.ua/ua/kingston_sa400s37_480g/p14606558/
33804487,Kingston,"SSD диск Kingston SSDNow A400 960GB 2.5"" SATAIII 3D V-NAND (SA400S37/960G)",2829.0,https://hard.rozetka.com.ua/ua/kingston_sa400s37_960g/p33804487/
371213721,Samsung,SSD диск Samsung 990 Pro 1TB M.2 PCIe 4.0 x4 NVMe 2.0 V-NAND 3bit MLC (MZ-V9P1T0BW),4889.0,https://hard.rozetka.com.ua/ua/samsung-mz-v9p1t0bw/p371213721/
187100593,Patriot,SSD диск Patriot P300 512GB M.2 2280 NVMe PCIe 3.0 x4 3D NAND TLC (P300P512GM28),1439.0,https://hard.rozetka.com.ua/ua/patriot_p300p512gm28/p187100593/
323284045,Kingston,SSD диск Kingston KC3000 1TB M.2 2280 NVMe PCIe Gen 4.0 x4 3D TLC NAND (SKC3000S/1024G),4399.0,https://hard.rozetka.com.ua/ua/kingston-skc3000s-1024g/p323284045/
282464458,Samsung,SSD диск Samsung 980 500GB M.2 PCIe 3.0 x4 V-NAND 3bit MLC (MZ-V8V500BW),2449.0,https://hard.rozetka.com.ua/ua/samsung_mz_v8v500bw/p282464458/
444146633,Kingston,SSD диск Kingston NV3 500GB M.2 2280 NVMe PCIe 4.0 x4 3D NAND (SNV3S/500G),1959.0,https://hard.rozetka.com.ua/ua/kingston-snv3s-500g/p444146633/
328203526,HP,"SSD диск HP S650 120GB 2.5"" SATAIII TLC (345M7AA/345M7AA#ABB)",499.0,https://hard.rozetka.com.ua/ua/hp-345m7aa/p328203526/
444146651,Kingston,SSD диск Kingston NV3 2TB M.2 2280 NVMe PCIe 4.0 x4 3D NAND (SNV3S/2000G),5759.0,https://hard.rozetka.com.ua/ua/kingston-snv3s-2000g/p444146651/
204828067,Golden Memory,"SSD диск Golden Memory 120GB 2.5"" SATAIII TLC (AV120CGB/GMSSD120GB)",419.0,https://hard.rozetka.com.ua/ua/golden_memory_av120cgb/p204828067/
351867570,Acer,"SSD диск Acer RE100 1TB 2.5"" SATAIII 3D NAND TLC (BL.9BWWA.109)",2529.0,https://hard.rozetka.com.ua/ua/acer-bl9bwwa109/p351867570/
298891823,Golden Memory,SSD диск Golden Memory 128GB mSATA TLC (GM2020128GB),549.0,https://hard.rozetka.com.ua/ua/golden-memory-gm2020128gb/p298891823/
231382267,Patriot,"SSD диск Patriot P210 512GB 2.5"" SATAIII TLC (P210S512G25)",1259.0,https://hard.rozetka.com.ua/ua/patriot_p210s512g25/p231382267/
